frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,bss.cov_scale,bss.cov_norm
36,0,-7.207183432489713,-3.086495612816811,4.120687819672902,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
37,0,-6.307294125108957,-5.972333745720768,0.334960379388189,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
38,0,-12.098570985586592,-5.661838118829198,6.436732866757394,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
39,0,0.20223121905861874,7.821416667528153,7.619185448469534,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
40,0,-5.6719403407188285,4.028742247326327,9.700682588045154,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
41,0,-3.075567068332349,5.248880634067206,8.324447702399555,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
42,0,-4.6634773622877255,4.953274121739266,9.616751484026992,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
43,0,-10.253691625421919,5.706967251376356,15.960658876798274,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
44,0,-1.980607863334748,6.4079441579706655,8.388552021305413,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
45,0,-2.0616773024985107,4.359816853033742,6.421494155532253,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
46,0,-10.099321981602284,-0.12472063989169435,9.974601341710589,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
47,0,-7.16780252167047,0.42045797063687185,7.5882604923073425,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
48,0,-3.7262682912907206,7.067077810243525,10.793346101534246,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
49,0,-1.5148983737128294,5.4502515099467095,6.965149883659539,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
50,0,-6.6700184293253715,7.178613800691737,13.84863223001711,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
51,0,-6.079001677568934,0.4949201528514585,6.573921830420392,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
52,0,-9.598163970097835,6.757018992399935,16.35518296249777,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
53,0,-5.855497899195333,6.443325127865579,12.298823027060912,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
54,0,-9.554763717516323,3.5421830859240027,13.096946803440325,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
55,0,-6.55457816049072,-0.2495878834548089,6.304990277035911,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
56,0,-9.621308133709533,-0.3226487582416865,9.298659375467846,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
57,0,-8.501721058331878,-0.7000241637399991,7.8016968945918785,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
58,0,-7.112169045077614,3.5255443079555375,10.637713353033153,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
59,0,-9.48282572111188,3.912601618184067,13.395427339295946,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
0,1,-6.418802181420937,-22.79491718925592,-16.376115007834983,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
1,1,-6.437524323419303,-5.917794674150887,0.5197296492684158,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
2,1,-10.781902378381796,-11.824820015925393,-1.0429176375435976,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
3,1,-12.479996585461846,-14.679319518920122,-2.1993229334582765,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
4,1,-0.2736510680036571,0.6625264793584311,0.9361775473620882,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
5,1,-4.38092487331648,5.231457272040327,9.612382145356808,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
6,1,-4.369100598022246,4.722647719468791,9.091748317491037,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
7,1,-16.48304017034826,-8.66031834099365,7.822721829354611,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
8,1,-3.20046211722195,1.379357094858562,4.579819212080512,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
9,1,-12.768495865734483,-2.519806681658834,10.24868918407565,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
10,1,-2.1164893623928513,9.351755462469988,11.46824482486284,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
11,1,-7.419689986763202,2.569213332021856,9.988903318785058,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
12,1,-14.792104481073459,-9.770521712192181,5.021582768881277,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
13,1,-1.7221185842872553,11.62309915279344,13.345217737080695,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
14,1,-3.6874998203036222,10.41463117456268,14.102130994866304,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
15,1,-2.235470695298349,13.316772757798871,15.55224345309722,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
16,1,-32.52373754272857,1.5253026406577548,34.049040183386325,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
17,1,-3.361764071001389,12.174964914392488,15.536728985393877,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
18,1,-5.562000293290009,13.884193021306286,19.446193314596293,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
19,1,-12.856516483090282,9.187114481579247,22.04363096466953,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
20,1,-7.263062238388317,5.502195350644955,12.765257589033272,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
21,1,-21.27080977369524,-0.6442699478821446,20.626539825813097,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
22,1,-4.137795317696962,12.456654044121569,16.59444936181853,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
23,1,-3.4489271803696053,13.787216020122932,17.23614320049254,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
24,1,-6.108568272960891,9.4300413932777,15.53860966623859,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
25,1,-7.334970020272349,11.702033412404713,19.03700343267706,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
26,1,-2.9560678716902498,7.520610202403687,10.476678074093936,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
27,1,-7.07963259289939,5.857319254266132,12.936951847165522,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
28,1,-6.179175929000315,7.3546352016678265,13.533811130668141,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
29,1,-21.225664758851465,-37.5954891497764,-16.369824390924933,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
30,1,-0.80662007070947,-16.78035052952253,-15.973730458813058,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
31,1,-10.284208392308559,-19.03908844042836,-8.7548800481198,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
32,1,-8.522838489988406,-17.265053186764426,-8.74221469677602,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
33,1,-5.583292529239731,0.7649808776298381,6.34827340686957,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
34,1,-6.850159037993256,-3.8192072813167774,3.0309517566764788,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
35,1,-8.90661198608069,-3.685804897400951,5.22080708867974,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
36,1,-3.636467137331036,0.875067951708261,4.511535089039297,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
37,1,-9.176157801434325,-0.8891179961074046,8.28703980532692,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
38,1,-0.6227135392243629,8.367061669781371,8.989775209005733,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
39,1,-8.426256412425492,3.7998344346463844,12.226090847071877,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
40,1,-6.087742372464576,3.084781440580808,9.172523813045384,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
41,1,-5.675881908973573,1.260938173884186,6.936820082857759,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
42,1,-11.885263911762474,9.799208878413694,21.684472790176166,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
43,1,-1.397187597017253,14.32915437170311,15.726341968720362,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
44,1,-8.136826701132586,9.970567943778574,18.10739464491116,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
45,1,-12.857277932402699,6.807091311630957,19.664369244033658,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
46,1,-3.37616221774032,8.864470131170027,12.240632348910346,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
47,1,-7.757066606420368,7.986729578957876,15.743796185378244,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
