process,bss.demix_update,bss.source_model,bss.forget,bss.n_iter,bss.f_limit,mixdir_name,SDR_mix,SDR_est,SDR_imp
online,IP1,Laplace,0.97,2,1000,rot-mix,-0.5588510423030962,-6.114596077101254,-5.555745034798158
online,IP1,Laplace,0.97,2,2000,int,-0.5588510423030962,-5.304017627978634,-4.7451665856755385
online,IP1,Laplace,0.97,2,2000,rot-mix,-0.5588510423030962,-6.143347293460067,-5.5844962511569705
online,IP1,Laplace,0.97,2,4000,int,-0.5588510423030962,-5.395588564086985,-4.836737521783888
online,IP1,Laplace,0.97,2,4000,rot-mix,-0.5588510423030962,-6.242163923333777,-5.68331288103068
online,IP1,Laplace,0.97,2,8000,int,-0.5588510423030962,-6.015377329034574,-5.456526286731478
online,IP1,Laplace,0.97,2,8000,rot-mix,-0.5588510423030962,-6.511633534256067,-5.95278249195297
online,IP1,Laplace,0.97,5,500,int,-0.5588510423030962,-5.077194826734291,-4.518343784431194
online,IP1,Laplace,0.97,5,500,rot-mix,-0.5588510423030962,-5.856022232764652,-5.2971711904615555
online,IP1,Laplace,0.97,5,1000,int,-0.5588510423030962,-6.151208734260497,-5.592357691957401
online,IP1,Laplace,0.97,5,1000,rot-mix,-0.5588510423030962,-5.706998326837085,-5.148147284533988
online,IP1,Laplace,0.97,5,2000,int,-0.5588510423030962,-6.600314216513546,-6.041463174210449
online,IP1,Laplace,0.97,5,2000,rot-mix,-0.5588510423030962,-6.427711641336491,-5.868860599033395
online,IP1,Laplace,0.97,5,4000,int,-0.5588510423030962,-6.361648632743826,-5.80279759044073
online,IP1,Laplace,0.97,5,4000,rot-mix,-0.5588510423030962,-5.956588378060451,-5.397737335757355
online,IP1,Laplace,0.97,5,8000,int,-0.5588510423030962,-6.254015207099974,-5.6951641647968785
online,IP1,Laplace,0.97,5,8000,rot-mix,-0.5588510423030962,-5.943921098936802,-5.385070056633706
online,IP1,Laplace,0.99,2,500,int,-0.5588510423030962,-5.8323370686167015,-5.273486026313606
online,IP1,Laplace,0.99,2,500,rot-mix,-0.5588510423030962,-5.509293098566374,-4.950442056263278
online,IP1,Laplace,0.99,2,1000,int,-0.5588510423030962,-6.618303088495311,-6.059452046192215
online,IP1,Laplace,0.99,2,1000,rot-mix,-0.5588510423030962,-6.364145174599176,-5.805294132296079
online,IP1,Laplace,0.99,2,2000,int,-0.5588510423030962,-6.587270296580748,-6.028419254277651
online,IP1,Laplace,0.99,2,2000,rot-mix,-0.5588510423030962,-6.524081594341938,-5.965230552038842
online,IP1,Laplace,0.99,2,4000,int,-0.5588510423030962,-6.563536279460476,-6.004685237157379
online,IP1,Laplace,0.99,2,4000,rot-mix,-0.5588510423030962,-7.013226145017895,-6.454375102714798
online,IP1,Laplace,0.99,2,8000,int,-0.5588510423030962,-6.054504082310584,-5.495653040007487
online,IP1,Laplace,0.99,2,8000,rot-mix,-0.5588510423030962,-6.519649319591261,-5.960798277288165
online,IP1,Laplace,0.99,5,500,int,-0.5588510423030962,-6.877991293817338,-6.319140251514242
online,IP1,Laplace,0.99,5,500,rot-mix,-0.5588510423030962,-6.570896274422241,-6.012045232119145
online,IP1,Laplace,0.99,5,1000,int,-0.5588510423030962,-6.0812700885237545,-5.522419046220659
online,IP1,Laplace,0.99,5,1000,rot-mix,-0.5588510423030962,-7.081191074314797,-6.5223400320117015
online,IP1,Laplace,0.99,5,2000,int,-0.5588510423030962,-6.241730814811043,-5.682879772507946
online,IP1,Laplace,0.99,5,2000,rot-mix,-0.5588510423030962,-6.320752180530146,-5.761901138227049
online,IP1,Laplace,0.99,5,4000,int,-0.5588510423030962,-5.619918248503906,-5.06106720620081
online,IP1,Laplace,0.99,5,4000,rot-mix,-0.5588510423030962,-6.028091805256098,-5.469240762953002
online,IP1,Laplace,0.99,5,8000,int,-0.5588510423030962,-5.431251405303834,-4.872400363000737
online,IP1,Laplace,0.99,5,8000,rot-mix,-0.5588510423030962,-5.8426258217310165,-5.283774779427921
online,IP1,Laplace,0.995,2,500,int,-0.5588510423030962,-7.1854693625477735,-6.626618320244677
online,IP1,Laplace,0.995,2,500,rot-mix,-0.5588510423030962,-7.0526028303335835,-6.493751788030488
online,IP1,Laplace,0.995,2,1000,int,-0.5588510423030962,-7.103180607183644,-6.544329564880548
online,IP1,Laplace,0.995,2,1000,rot-mix,-0.5588510423030962,-6.943606999357089,-6.384755957053992
online,IP1,Laplace,0.995,2,2000,int,-0.5588510423030962,-6.666575210606118,-6.107724168303022
online,IP1,Laplace,0.995,2,2000,rot-mix,-0.5588510423030962,-7.256531569828187,-6.697680527525092
online,IP1,Laplace,0.995,2,4000,int,-0.5588510423030962,-7.372103500184845,-6.813252457881749
online,IP1,Laplace,0.995,2,4000,rot-mix,-0.5588510423030962,-7.502094208175517,-6.943243165872422
online,IP1,Laplace,0.995,2,8000,int,-0.5588510423030962,-7.27015794651229,-6.711306904209195
online,IP1,Laplace,0.995,2,8000,rot-mix,-0.5588510423030962,-7.342664968428082,-6.783813926124985
online,IP1,Laplace,0.995,5,500,int,-0.5588510423030962,-7.748700709704981,-7.1898496674018855
online,IP1,Laplace,0.995,5,500,rot-mix,-0.5588510423030962,-7.626434373712852,-7.067583331409757
online,IP1,Laplace,0.995,5,1000,int,-0.5588510423030962,-7.029233819165093,-6.470382776861997
online,IP1,Laplace,0.995,5,1000,rot-mix,-0.5588510423030962,-7.568025697008723,-7.009174654705627
online,IP1,Laplace,0.995,5,2000,int,-0.5588510423030962,-7.19221712523848,-6.6333660829353835
online,IP1,Laplace,0.995,5,2000,rot-mix,-0.5588510423030962,-8.071319878797796,-7.512468836494699
online,IP1,Laplace,0.995,5,4000,int,-0.5588510423030962,-7.207135608402003,-6.648284566098907
online,IP1,Laplace,0.995,5,4000,rot-mix,-0.5588510423030962,-7.429847696395905,-6.870996654092808
online,IP1,Laplace,0.995,5,8000,int,-0.5588510423030962,-7.155482681057383,-6.596631638754286
online,IP1,Laplace,0.995,5,8000,rot-mix,-0.5588510423030962,-6.682086983849556,-6.123235941546459
online,IP1,Laplace,0.9995,2,500,int,-0.5588510423030962,-8.450831568934124,-7.891980526631028
online,IP1,Laplace,0.9995,2,500,rot-mix,-0.5588510423030962,-7.836485664181482,-7.277634621878385
online,IP1,Laplace,0.9995,2,1000,int,-0.5588510423030962,-7.901247810601205,-7.34239676829811
online,IP1,Laplace,0.9995,2,1000,rot-mix,-0.5588510423030962,-8.02865928169843,-7.469808239395333
online,IP1,Laplace,0.9995,2,2000,int,-0.5588510423030962,-8.032621945418262,-7.473770903115165
online,IP1,Laplace,0.9995,2,2000,rot-mix,-0.5588510423030962,-8.60063550092389,-8.041784458620794
online,IP1,Laplace,0.9995,2,4000,int,-0.5588510423030962,-7.739649793891664,-7.180798751588568
online,IP1,Laplace,0.9995,2,4000,rot-mix,-0.5588510423030962,-8.756852699013072,-8.198001656709977
online,IP1,Laplace,0.9995,2,8000,int,-0.5588510423030962,-8.17282633473028,-7.613975292427183
online,IP1,Laplace,0.9995,2,8000,rot-mix,-0.5588510423030962,-8.796733409855342,-8.237882367552245
online,IP1,Laplace,0.9995,5,500,int,-0.5588510423030962,-8.596700484141081,-8.037849441837984
online,IP1,Laplace,0.9995,5,500,rot-mix,-0.5588510423030962,-8.55569948827818,-7.996848445975085
online,IP1,Laplace,0.9995,5,1000,int,-0.5588510423030962,-8.40340285228278,-7.8445518099796825
online,IP1,Laplace,0.9995,5,1000,rot-mix,-0.5588510423030962,-8.451768731791589,-7.892917689488491
online,IP1,Laplace,0.9995,5,2000,int,-0.5588510423030962,-8.633487320940871,-8.074636278637774
online,IP1,Laplace,0.9995,5,2000,rot-mix,-0.5588510423030962,-9.007766546398258,-8.448915504095162
online,IP1,Laplace,0.9995,5,4000,int,-0.5588510423030962,-8.655741271371788,-8.096890229068693
online,IP1,Laplace,0.9995,5,4000,rot-mix,-0.5588510423030962,-8.80656092279209,-8.247709880488992
online,IP1,Laplace,0.9995,5,8000,int,-0.5588510423030962,-8.23832055432164,-7.679469512018542
online,IP1,Laplace,0.9995,5,8000,rot-mix,-0.5588510423030962,-8.93017523343127,-8.371324191128174
