frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,mixdir_name
8,1,-5.9299674715372666,1.169535129592608,7.099502601129874,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,1,-2.3727748666771564,-1.5437527146746048,0.8290221520025516,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
10,1,-4.387785700886927,-8.309924455796656,-3.922138754909729,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,1,-7.819411782483802,-2.9105060429887883,4.9089057394950135,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,1,-4.4027095955384,-4.94984063634522,-0.5471310408068204,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,1,-12.333909339271242,-16.06362319735791,-3.729713858086667,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,1,-4.9605865525268165,-2.62291590838774,2.3376706441390764,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,1,-5.993811071764066,-7.468775471674512,-1.474964399910446,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,1,-1.200147391651423,-1.3524411301170831,-0.1522937384656602,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,1,-3.4288849472709577,-1.086577109373503,2.3423078378974544,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,1,-7.271643051543881,-1.8096355615796842,5.462007489964197,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,1,-2.6335917511970734,-6.682163695767885,-4.048571944570812,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,1,-6.5249965207799985,-2.354631279306434,4.170365241473565,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
21,1,-6.814981813118689,0.9739217432830488,7.788903556401738,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
22,1,-5.343060427156021,3.2207112987186393,8.56377172587466,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
23,1,-5.518836271249411,-5.591634522739708,-0.07279825149029762,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
24,1,-3.7366345675594004,-3.5040576319388457,0.2325769356205547,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
25,1,-11.855363840776338,-4.054410505883455,7.800953334892883,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
26,1,-0.8944622855861046,2.889807302448024,3.784269588034129,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
27,1,-6.17898422064891,-2.513076448962231,3.665907771686679,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
28,1,-11.544060291343861,-5.13880844412001,6.405251847223851,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
29,1,-14.537837274403135,-10.183786524222203,4.354050750180932,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
0,2,-34.372356271571746,-26.895448854568755,7.476907417002991,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
1,2,-1.3045381288976126,7.673214364142788,8.9777524930404,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
2,2,-6.983178817827969,3.3024790785598257,10.285657896387795,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
3,2,-4.873576347988527,3.5215122826705714,8.395088630659098,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
4,2,-11.07525431654057,-10.654916151102631,0.4203381654379399,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
5,2,-9.802713671658147,3.678193013064769,13.480906684722916,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
6,2,-7.238842035015485,7.792552550243379,15.031394585258862,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
7,2,-13.870926979855035,-2.7637348444785226,11.107192135376513,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
8,2,-32.000359950697266,-38.13604868617092,-6.135688735473657,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,2,-39.158863188174024,-35.05911954261205,4.099743645561972,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
10,2,-11.59407850651066,4.2080452315110835,15.802123738021745,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,2,-7.9305170590113585,9.066866365180845,16.997383424192204,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,2,-10.10131176097989,-2.7800366893811095,7.32127507159878,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,2,-10.762657985115132,0.10156118175548967,10.86421916687062,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,2,-6.984980929356958,9.094306058663168,16.079286988020126,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,2,-12.294965659262678,-4.413882666642721,7.881082992619957,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,2,-38.771565570390166,-27.859270097975546,10.91229547241462,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,2,-41.4949215927194,-35.81670223250433,5.678219360215067,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,2,-36.616946140418726,-36.99273508587242,-0.37578894545369224,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,2,-4.096522106053568,-2.674445634759489,1.422076471294079,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,2,-4.09742008407128,-6.48499240491243,-2.3875723208411497,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
21,2,-7.045754990828068,-5.476227786283583,1.5695272045444852,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
22,2,-5.522041207920143,-3.8181386467327543,1.7039025611873888,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
23,2,-4.726767093027211,-2.0287086560064385,2.698058437020773,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
24,2,-14.672023376741006,-8.695621910531084,5.976401466209921,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
25,2,-45.21261811793614,-33.59120415760231,11.621413960333825,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
26,2,-38.576897252114115,-23.52818862122156,15.048708630892556,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
27,2,-2.799900112392679,-4.42713556610933,-1.6272354537166507,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
28,2,1.2450646867206474,4.559717074013791,3.314652387293143,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
29,2,-19.884425543704413,-12.249337944866973,7.6350875988374405,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
0,3,-11.087440215181754,-1.288630471042333,9.79880974413942,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
1,3,-7.66024609752926,-7.735436927419405,-0.07519082989014514,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
2,3,-6.245670191498929,-0.8855932544771505,5.360076937021779,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
3,3,-5.517668122706972,-5.141589258193075,0.3760788645138975,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
4,3,-6.291035565551285,-5.476381415166127,0.8146541503851576,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
5,3,-16.060850869011702,-32.558472054283556,-16.497621185271854,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
6,3,-36.945466868427694,-33.575641656571975,3.3698252118557193,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
7,3,-6.490215355729489,-1.3627117783894027,5.127503577340086,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
8,3,-1.8819082715956823,-0.040715672951002445,1.8411925986446798,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,3,-5.769259501955043,0.6518999086863717,6.4211594106414145,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
10,3,-34.09289767449283,-33.60827639717066,0.4846212773221694,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,3,-36.027999543058165,-25.239330116774283,10.788669426283882,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,3,-2.6731559362633694,-1.7068151618520055,0.9663407744113639,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,3,-7.571524566337397,-2.5538462444012735,5.017678321936123,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,3,-40.64510413529739,-55.62392319186044,-14.978819056563054,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,3,-11.619651101194677,4.768255896281107,16.387906997475785,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,3,-3.0002639055691493,11.360008332829084,14.360272238398233,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,3,-5.314377026508417,10.585616168695502,15.899993195203919,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,3,-4.631196585381431,10.207289968774617,14.838486554156049,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,3,-33.2233115266733,-33.37325372887037,-0.14994220219706733,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,3,-28.088376192146217,-38.3819084521072,-10.29353225996098,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
21,3,-6.89690774773632,8.15624153664645,15.05314928438277,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
22,3,-4.763958419603943,8.342224755151594,13.106183174755538,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
23,3,-6.5912530386160215,6.377660379675047,12.968913418291068,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
24,3,-10.029802965528216,5.841037256556851,15.870840222085068,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
25,3,-44.694448512174546,-23.516475006955112,21.177973505219434,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
26,3,-32.63227758958306,-32.8102114244017,-0.17793383481863856,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
27,3,-1.8985994275336926,9.340465712585885,11.239065140119578,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
28,3,-7.586414301902549,6.411898029640999,13.998312331543548,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
29,3,-5.5968985921961,9.261616322702283,14.858514914898382,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
0,4,-2.828574811300321,-0.7906855750901935,2.0378892362101273,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
1,4,-6.836714427374969,-10.917986164416808,-4.081271737041839,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
2,4,-6.747773017373153,-5.967538404158289,0.7802346132148639,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
3,4,-8.580629131709895,-2.9259103310650127,5.654718800644882,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
4,4,-6.655102957600113,-0.47259696163574927,6.182505995964364,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
5,4,-5.7000844449305355,-6.319083482568448,-0.6189990376379129,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
6,4,-4.260047033760196,0.6054908087495432,4.865537842509739,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
7,4,-3.5446031420950215,-2.254514416867974,1.2900887252270477,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
8,4,-10.618754833930193,-5.1172374401141205,5.501517393816073,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,4,-10.488448674670991,-5.570892150164477,4.917556524506514,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
